name,price(USD),rating,image,price(NGN)
"Samsung 32 "" inch Class N5300 Series LED Full HD Smart Tizen Black TV",239.99,98.9,https://i.ebayimg.com/thumbs/images/g/6ccAAOSwtQ5l~K7a/s-l500.jpg,357105
Samsung 40 Inch Smart TV Full HD HDR LED UE40T5300AEXXU,526.4,97.4,https://i.ebayimg.com/thumbs/images/g/YHIAAOSwOv1mH9Zk/s-l500.jpg,783283
"Samsung 32"" inch 1080p Full HD 60Hz LED Smart TV UN32N5300AF",188.31,98.8,https://i.ebayimg.com/thumbs/images/g/qgAAAOSwf9lkm1mK/s-l140.jpg,280205
"Samsung 40"" Smart TV",55.55,100,https://i.ebayimg.com/thumbs/images/g/kcoAAOSw8wpmchM5/s-l140.jpg,82658
"QLED 65"" Q60D 2024, 4K, Smart TV",801.15,0,https://i.ebayimg.com/thumbs/images/g/9SgAAOSwne5mLeRb/s-l140.jpg,1192111
"Mainboard BN94-1277R from Samsung 50"" 4K UHD Smart TV 6  UN50MU6070Fxza",75.0,100,https://i.ebayimg.com/thumbs/images/g/6TQAAOSw3hBmLBFG/s-l140.jpg,111600
"SAMSUNG 32"" Inch QLED The Frame Quantum HDR Smart TV QN32LS03CB with Wall Mount",398.65,98.8,https://i.ebayimg.com/thumbs/images/g/AN8AAOSweStmczXj/s-l140.jpg,593191
"New ListingSamsung QN98QN90AA Neo QLED QN90A 98"" Class HDR 4K UHD Smart QLED TV",290.0,0,https://i.ebayimg.com/thumbs/images/g/5IwAAOSwyNZmeUzr/s-l140.jpg,431520
"Samsung 32"" inch 1080p Full HD 60Hz LED Smart TV - UN32N5300AF",177.98,98.8,https://i.ebayimg.com/thumbs/images/g/qgAAAOSwf9lkm1mK/s-l140.jpg,264834
Samsung 40 Inch UE40T5300AEXXU Smart Full HD HDR LED TV,375.18,100,https://i.ebayimg.com/thumbs/images/g/AZgAAOSwN45lUSOQ/s-l140.jpg,558268
"75"" LED TV - Samsung TU75CU7175UXXC, UHD 4K, Smart TV, PurColor, Object Tracking""",14.79,0,https://i.ebayimg.com/thumbs/images/g/cw8AAOSwaIdmWTsq/s-l140.jpg,22008
"Samsung 32"" inch HD LED Purcolor Smart TV 720p HDMI USB Wifi Streaming Apps",145.51,98.8,https://i.ebayimg.com/thumbs/images/g/GW0AAOSw~xhmBJly/s-l140.jpg,216519
Samsung The Serif 50 inch QLED Smart TV - Cloud White,631.38,100,https://i.ebayimg.com/thumbs/images/g/HcwAAOSwab1l4gk-/s-l140.jpg,939493
"Samsung 22"" LED 1080p Full HD Slim Smart TV Model HG22NE690ZF *NO REMOTE*",68.84,100,https://i.ebayimg.com/thumbs/images/g/H7cAAOSw4ghmM~ra/s-l140.jpg,102434
"Samsung QN55QN90BAF 55"" 4K UHD Neo QLED Smart TV - Titan Black",850.0,0,https://i.ebayimg.com/thumbs/images/g/Yl0AAOSwWJZla7kV/s-l140.jpg,1264800
Power Cord For Samsung 55 inch Class S90C OLED 4K Smart TV QN55S90CAFXZA,9.49,100,https://i.ebayimg.com/thumbs/images/g/vUQAAOSw899l08dV/s-l140.jpg,14121
"New ListingSAMSUNG 55"" Crystal UHD 4K Smart TV (CU7000 Series) withQ-Symphony, 4K Upscaling",233.53,0,https://i.ebayimg.com/thumbs/images/g/EKIAAOSweqFmdEzD/s-l140.jpg,347493
"Samsung UE55AU7172U 55"" 4K LED Smart TV",534.1,0,https://i.ebayimg.com/thumbs/images/g/sukAAOSwoO9jW43i/s-l140.jpg,794741
"SAMSUNG 4500 32"" 720P HD Smart LED-LCD TV, UN32M4500BFXZA New",199.98,100,https://i.ebayimg.com/thumbs/images/g/3acAAOSwKCJmMSVr/s-l140.jpg,297570
"SAMSUNG 40"" Class 5-Series FullHD LED Smart TV - UN40N5200AFXZA",349.99,97.5,https://i.ebayimg.com/thumbs/images/g/zEQAAOSwomhl160a/s-l140.jpg,520785
"Samsung 32"" 1080p Smart LED TV 2018 Black with 1 Year Extended Warranty",309.0,98.9,https://i.ebayimg.com/thumbs/images/g/vzkAAOSw7TFlTCHX/s-l140.jpg,459792
Samsung 5300 UN32N5300AF 32-inch LED Smart TV UN32N5300AFXZA,184.97,98.8,https://i.ebayimg.com/thumbs/images/g/BX4AAOSwpDhmdf7a/s-l140.jpg,275235
"Samsung UE55TU8500U 55"" 4K LED Smart TV - Black",515.3,100,https://i.ebayimg.com/thumbs/images/g/e6MAAOSwNDlhBFek/s-l140.jpg,766766
Samsung 32 Inch UE32T4307AEXXU Smart HD Ready HDR LED TV,302.43,100,https://i.ebayimg.com/thumbs/images/g/kjYAAOSwrD1kw~rS/s-l140.jpg,450016
